Mot;Autre forme;Definition;Nature du mot;Francais;Anglais;;
Ju?bw??nt? (3/6);;;L?n;Offrande;;;
N?? yo?o (V);;;Mba?ncob?;Oindre;;;
N?? be??t?? (V);;;Mba?ncob?;Oindre;;;
N?? se??e (V);;;Mba?ncob?;Oindre;;;
Sa?? (5/4);;;L?n;Oiseau;;;
T?mv?d (5/4);;;L?n;Olivier;;;
N??ca?? (1/6);;;L?n;Ombre;;;
Ncua??nk??mbo?? (4);;;L?n;Omoplates;;;
Bo (pron);;;;On;;;
Nkib (1/6);;;L?n;Ongle;;;
Nkibku? (1/6);;;L?n;Ongle de l?orteil;;;
Nkibbu (1/6);;;L?n;Ongle du doigt;;;
N?? gha (V);;;Mba?ncob?;Opposer;;;
Ba?gwuà ;;;;Opposition;;;
Nd?? (conj);;;;Or;;;
T?ngol (3);;;L?n;Or;;;
N??ta?mba?? (1/6);;;L?n;Orage;;;
Nzw???nzw?? (adj);;;;Orageux;;;
Ku?mbu? (5/4);;;L?n;Orchestre;;;
Mànd? (5/4);;;L?n;Orchestre;;;
Ne?nà? (3/6);;;L?n;Ordure;;;
N??nà?nsi?ndà (1/6);;;L?n;Ordure;;;
To? (3/4);;;L?n;Oreille;;;
K???kun? (5/4);;;L?n;Oreiller;;;
Sedghe? (1);;;L?n;Orellons;;;
Nga?v?? (1/6);;;L?n;Orfe?vre;;;
Ko??t??wud (1);;;L?n;Orgueille ;;;
Nga?ko??t?wud (1/6);;;L?n;Orguilleux;;;
Ntu?mnya?m (1/6);;;L?n;Orient;;;
Ba?gntu?mnya?m (;;;L?n;Orient (en);;;
M?nntse (1/6);;;L?n;Orphelin;;;
Ndà?bo?ntse (1/6);;;L?n;Orphelinat;;;
Ntu?ku? (1/4);;;L?n;Orteil;;;
Mfe??ku? (1/4);;;L?n;Orteil (entre les );;;
Ntu?ku? mà?du?? (1/4);;;L?n;Orteil (gros);;;
Nke?dku? (1/4);;;L?n;Orteil (petit);;;
N?? s?? (V);;;Mba?ncob?;O?ter ;;;
Voge (5/4);;;L?n;Os;;;
N?? ba?b (V);;;Mba?ncob?;Oser;;;
N?? ba?b nd?? (V);;;Mba?ncob?;Oser;;;
N?? k??mte? (V);;;Mba?ncob?;Oser;;;
N?? kutu (V);;;Mba?ncob?;Oser;;;
Mvoge (4);;;L?n;Ossement;;;
La?gt?? (1/6);;;L?n;Oubli;;;
N?? la?gt?? (V);;;Mba?ncob?;Oublier;;;
Mbi?nya?m (1/6);;;L?n;Ouest;;;
Ba?gmbi?nya?m (1/6);;;L?n;Ouest (a?);;;
?? (adv);;;;Oui;;;
Ju?fa?? (3/6);;;L?n;Outil;;;
Cà?bt?? (1);;;L?n;Outrage;;;
N?? cà?bt?? (V);;;Mba?ncob?;Outrer;;;
N??gha?? nt? ng? (adj);;;;Ouvert;;;
Ng? (adj);;;;Ouvert;;;
N?? t? ng? (V);;;Mba?ncob?;Ouvert(laisser);;;
Nz?? (1/6);;;L?n;Ouverture;;;
T? (1/6);;;L?n;Ouverture;;;
Nga?fa?? (1/6);;;L?n;Ouvrier;;;
N?? co?o (V);;;Mba?ncob?;Ouvrir;;;
N?? gha?a (V);;;Mba?ncob?;Ouvrir;;;
N?? ghab nt? ng? (V) ;;;Mba?ncob?;Ouvrir;;;
;;;;;;;
Ba?g?wa??ni (1/6);;;L?n;Page;;;
Nkàbfa?? (1);;;L?n;Paiement;;;
K??l??nnsi (1/6);;;L?n;Pa‹en;;;
D???nkà?bfa?? (3/6);;;L?n;Paierie;;;
Nyi??nga? (3/6);;;L?n;Paille;;;
B?n? (3/6);;;L?n;Paille;;;
Ntàb (3/6);;;L?n;Paillotte;;;
Fit??m??n (1/6);;;L?n;Paisible;;;
N??fit? (adj);;;;Paisible;;;
Fit?? (1/6);;;L?n;Paix;;;
Nca? (1/6);;;L?n;Palable;;;
N?? sa?nca? (1/6);;;L?n;Palabrer;;;
Nga?sa?nca? (1/6);;;L?n;Palabreur;;;
Ndà?nca? (1/6);;;L?n;Palais de justice;;;
Nzw???nzw?? (adj);;;;Pa?le;;;
Ca?t?n? (3/6);;;L?n;Palme;;;
Ca?nk?à (3/6);;;L?n;Palme du raphia;;;
T?n? (5/4);;;L?n;Palmier;;;
Mba (3/6);;;L?n;Palmiste;;;
Ntsi? (1/6);;;L?n;Panier;;;
K??so?? (5/4);;;L?n;Panier;;;
C???nku? (5/4);;;L?n;Pantalon;;;
Nzwi?mà?nt?? (1/6);;;L?n;Panthe?re;;;
Nzwi? (1/6);;;L?n;Panthe?re ;;;
Sitimà? (1/6);;;L?n;Paquebot;;;
Bu?u (5/4);;;L?n;Paquet;;;
Bu?mf?m (5/4);;;L?n;Paquet vide;;;
Ng?m? (;;;L?n;Parabole;;;
Tà?nk?d (1/6);;;L?n;Parabole;;;
N?? ?wa?g? (V);;;Mba?ncob?;Paraitre ;;;
Be?t??wud (1);;;L?n;Paralysie;;;
K??kal? (1/6);;;L?n;Paralytique;;;
Nu?mmb?? (pre?p);;;;Parce que;;;
?wa?? ningu?b (1/6);;;L?n;Parchemin;;;
Nzw??nu?mt? (1/6);;;L?n;Pardessus;;;
La?gt? (1);;;L?n;Pardon;;;
N?? la?gt?? mfà (V);;;Mba?ncob?;Pardonner;;;
Nda??nda? (adv);;;;Pareil;;;
B??nda??nda? (adv);;;;Pareillement;;;
L? (1);;;L?n;Paresse;;;
Yw?n? (1);;;L?n;Paresse;;;
N?? l? (V);;;Mba?ncob?;Paresser;;;
N?? ko yw?n? (V);;;Mba?ncob?;Paresser;;;
Nd? (1/6);;;L?n;Paresseux;;;
Nga?l??dwud (1/6);;;L?n;Paresseux;;;
Nga?yw?n? (1/6);;;L?n;Paresseux;;;
Bw??nia?gt? (adj);;;;Parfait;;;
Là?nbindà? (;;;L?n;Parfun;;;
Nkwà? ;;;L?n;Pari;;;
Ti (1/6);;;L?n;Paria;;;
N?? fiag nkwà? (V);;;Mba?ncob?;Parier;;;
Mf? (1);;;L?n;Parjure;;;
N?? ka?nmf? (V);;;Mba?ncob?;Parjurer;;;
n?? cob? (V);;;Mba?ncob?;Parler;;;
n?? tàgt? nu? (V);;;Mba?ncob?;Parler a? l?oreille;;;
N?? su? ncu? nsi (V);;;Mba?ncob?;Parler en cachette;;;
N?? tsin ca?m (V);;;Mba?ncob?;Parler en secret;;;
N?? tsw???t?? (V);;;Mba?ncob?;Parler en insistant;;;
Ncob? (4);;;L?n;Parole;;;
Ncobnsi (4);;;L?n;Parole de Dieu;;;
Ncob k??tu?n (4);;;L?n;Parole vaine;;;
Nzwia?t? ncob? (4);;;L?n;Parole vaine;;;
Ba?g (3/6);;;L?n;Part;;;
Ghà?bt?? (1/6);;;L?n;Partage;;;
N??ghà?bt?? (1/6);;;L?n;Partage;;;
N?? ghà?bt?? (V);;;Mba?ncob?;Partager;;;
N?? gà?bt?? t??bu (V);;;Mba?ncob?;Partager (de fa‡on discrim) ;;;
Kum (5/4);;;L?n;Parti;;;
Ku?mmf?ng?? (5/4);;;L?n;Partie politique;;;
Ku?mnk??nk? (5/4) ;;;L?n;Parti politique;;;
Ba?g (3/6);;;L?n;Partie;;;
N?? n??ne (V);;;Mba?ncob?;Partir;;;
Njo??d???fa (adv);;;;Partout;;;
Ba?gba?g (adv);;;;Part (toutes);;;
Ne??wa?g? (1);;;L?n;Parution;;;
N?? ncuà? nkum? (V);;;Mba?ncob?;Parvenir;;;
N?? nc?à? nco (V) ;;;Mba?ncob?;Parvenir;;;
Nc?à?nz?? (1/6);;;L?n;Passant;;;
N?? c?à? (V);;;Mba?ncob?;Passer;;;
N?? tog? (V);;;Mba?ncob?;Passer;;;
N?? zwi ng??la? (V);;;Mba?ncob?;Passer du temps;;;
Togzin? (1/6);;;L?n;Passereau;;;
Bàsit?? (1/6);;;L?n;Pasteur;;;
Nga?b?bmbw? (1/6);;;L?n;Pasteur;;;
Be?lo?? (1/6);;;L?n;Patate;;;
F??nnt? (3);;;L?n;Patience;;;
Ghu?bnt? (3/6);;;L?n;Patience;;;
N?? f?nt? (V);;;Mba?ncob?;Patienter;;;
N?? ghubt? (V);;;Mba?ncob?;Patienter;;;
Nga?teng?? (1/6);;;L?n;Patriarche;;;
Ng?? (3/6);;;L?n;Patrie;;;
Ng?? bà?mm??n (3/6);;;L?n;Patrie;;;
Nkwa?t?nu? (4);;;L?n;Patron;;;
N?? kwa?t?? (V);;;;Pens‚e;;;
Nga?kwa?nu? (16);;;L?n;Penser;;;
Nga?kwentscu?b (1/6);;;L?n;Penseur;;;
Ndà?ncu?b (1/6);;;L?n;Percepteur;;;
N?ju?u (1);;;L?n;Perception;;;
N?? so?b? (V);;;Mba?ncob?;Percer;;;
N?? to (V);;;Mba?ncob?;Percer;;;
N??bi (1);;;L?n;Perdition;;;
N?? bi (V);;;Mba?ncob?;Perdre;;;
N?? wua?a (V);;;Mba?ncob?;Perdre;;;
N?? vu? nca? (V);;;Mba?ncob?;Perdre proce?s;;;
Sa?ngab (1/6);;;L?n;Perdrix;;;
Tà  (3/4);;;L?n;Pe?re;;;
Nts? (1/6);;;L?n;Pe?re (beau) ;;;
Tà?ndu (1/6);;;L?n;PŠre (beau);;;
Tà?nzwi (à?m) (1/6);;;L?n;PŠre (beau);;;
?u?t??nu? (3/6);;;L?n;Perfide;;;
N?? kw? (V);;;Mba?ncob?;P‚rir;;;
N?? bi (V);;;Mba?ncob?;P‚rir;;;
Ntogntse (4);;;L?n;Perles;;;
Nc??n (4);;;L?n;Perles;;;
N?? gh?dni? m??n (V);;;Mba?ncob?;Pers‚cuter;;;
 n?? co?nku? k??bà?n (V);;;Mba?ncob?;Pers‚cuter;;;
F?nt?? (1);;;L?n;Pers‚v‚rance;;;
F??nnt? (3);;;L?n;Pers‚v‚rance;;;
Ka?gt??n (1);;;L?n;Pers‚v‚rance;;;
N?? f?nt? (V);;;Mba?ncob?;Pers‚v‚rer;;;
N?? c?bnt? (V);;;Mba?ncob?;Pers‚v‚rer;;;
N?? kagt??n (V);;;Mba?ncob?;Pers‚v‚rer;;;
M??nnt??n (1/6);;;L?n;Personne;;;
Sà?mm??n (1/6);;;L?n;Personne;;;
Nsà k?l? (1/6);;;L?n;Personne tre?s instruite;;;
N??l??l? (adj);;;;Posant;;;
M?co?g (adj);;;;Petit;;;
Metsi?d (adj);;;;Petit;;;
N??kag? (adj);;;;Petit;;;
Z??nk??? (adj);;;;Petit;;;
M??nnk??? (1/6);;;L?n;Petit (en valeur);;;
K?dfo?? (5/4);;;L?n;Petite antenne radio;;;
K?dng?ày?n (5/4);;;L?n;Petit antenne tele;;;
Ka?mm??n (adj);;;;Petite taille (de);;;
Ng?? (3);;;L?n;Peuple;;;
Ng??ng?? (6);;;L?n;Peuple;;;
Bwog (1);;;L?n;Peur;;;
Mbwo?gtu?n (1/6);;;L?n;Peureux;;;
Nga?bwog (1/6);;;L?n;Peureux;;;
Ndà?ntà?nmfu (1/6);;;L?n;Pharmacie;;;
Nd??nngà?mmfu (1/6);;;L?n;Pharmacien;;;
Nga?sw??nmfu (1/6);;;L?n;Pharmacien;;;
Nsw?nmfu (1/6);;;L?n;Pharmacien ;;;
Cammbwo?? (1/6);;;L?n;Philanthrope;;;
Ku?ncob? (3/4);;;L?n;Phrase;;;
Ca?t??ng?? (1);;;L?n;Physiocratie;;;
S? (3/6);;;L?n;Physionomie;;;
ka?m?wa??ni? (3/4);;;L?n;Pie?ce d?un dossier;;;
K??nkàb (1/4);;;L?n;Pie?ce d?arrgent;;;
N?? b??n ywi? (V);;;Mba?ncob?;Pie?ger;;;
Ku? (3/4);;;L?n;Pied;;;
Tu?n (3/4);;;L?n;Pied;;;
Ywi?? (3/4);;;L?n;Pie?ge;;;
Lo?? (5/4);;;L?n;Pierre;;;
Lo??fa?t?? (5/4);;;L?n;Pierre d?achopement;;;
Ndo??ta?njo?? (4);;;L?n;Pierres pre?cieuses;;;
N?? tà?bt? nku? (V);;;Mba?ncob?;Pie?tiner;;;
N?? nya??t?? nku? (V);;;Mba?ncob?;Pie?tiner;;;
K???u?u(adj);;;;Pieux;;;
Nga?bwognsi (1/4);;;L?n;Pieux;;;
bwo??sa?? (5/4);;;L?n;Pigeon;;;
Nga?so? (1/6);;;L?n;Pilote;;;
Nga?ca?gt?? (1/6);;;L?n;Pilote;;;
Sa?to (1);;;L?n;Piment;;;
Sog? (5);;;L?n;Piment;;;
Ta?mc?d (1);;;L?n;Ping pong;;;
K?nu (5/4);;;L?n;Pirogue;;;
Nga?so??k??nu (1/6);;;L?n;Piroguier ;;;
Nzo? (1/6);;;L?n;Pistache;;;
Ko?nd??n (3);;;L?n;Pitie?;;;
Nd??n (4);;;L?n;Pitie?;;;
Nd??nnko ();;;L?n;Pitie?;;;
N?? kond??n (V);;;Mba?ncob?;Pitie? (avoir );;;
D? (3/6);;;L?n;Place;;;
Nsem (3/6);;;L?n;Place publique;;;
Keko?o (5/4);;;L?n;Plaie;;;
Le?ke?te? ;;;L?n;Plaine;;;
N?? bw?? (V);;;Mba?ncob?;Plaire;;;
N?? ko?mzwi? (V);;;Mba?ncob?;Plaisanter;;;
Fia??so?? (3/4) ;;;L?n;Plaisanterie ;;;
Mfi??;;;L?n;Plan;;;
Nsi?ndà (1/6);;;L?n;Plancher;;;
T??dndà (3/6);;;L?n;Plancher ;;;
N??, sia?t? nu? nu?m ;;;;Plancher sur;;;
Mbw??jum(4);;;L?n;Plant;;;
Nzwi?dju (4);;;L?n;plant;;;
K??l?nt??n (5/4);;;L?n;Plantain;;;
Nzwi?nt? (5/4);;;L?n;Plante (jeune);;;
Ba?nku? (3/6);;;L?n;Plante du pied;;;
Nz??nyi? (1/6);;;L?n;Plante (d?hysope);;;
N?? ywi?l? (V);;;Mba?ncob?;Planter;;;
N?? bw?? (V);;;Mba?ncob?;Planter;;;
N?? jàg? (V);;;Mba?ncob?;Planter;;;
Ka (3/6);;;L?n;Plat;;;
N??v?? (adj);;;;Plat;;;
N??n??nsi (adj);;;;Plat;;;
Ko?nga?k??? (3/4);;;L?n;Plateau;;;
M?ko?nga? (3/4);;;L?n;Plateau;;;
Ndun? (adj);;;;Plein;;;
N??dun? ;;;;Pl‚nitude;;;
Kuni? (4);;;L?n;Pl‚nitude;;;
N??kwa?a (1);;;L?n;Pleur;;;
N?? kwa?a (V);;;Mba?ncob?;Pleurer;;;
N?? là?n? (V);;;Mba?ncob?;Pleurer;;;
Là?nnyà (1/6);;;L?n;Pleureur;;;
N?? lo (V);;;Mba?ncob?;Pleuvoir;;;
N?? ba?mnts? (V);;;Mba?ncob?;Plonger;;;
N?? nyu?nts? (V);;;Mba?ncob?;Plonger;;;
N?? bi la?m (V);;;Mba?ncob?;Plonger;;;
Mba?? (3);;;L?n;Pluie;;;
Nd??sàn? (5);;;L?n;Pluie (saison);;;
K?d?wa??ni (5/4);;;L?n;Plume;;;
F? (mf?) (5/4);;;L?n;Plume (s);;;
MV??? (1/6);;;L?n;Poche;;;
To??bà?m (3/4);;;L?n;Poche;;;
Nd??nk?l? (1/6);;;L?n;PoŠte;;;
L?d (3/4) ;;;L?n;Poids;;;
Nto?bi (5/4);;;L?n;Poignard;;;
Nsà?bi  (5/4);;;L?n;Poignard  ;;;
N?? so?b? (V);;;Mba?ncob?;Poignarder;;;
Bu (3/4);;;L?n;Poigne?e;;;
Nda??bu (;;;L?n;Poignet;;;
Nya? (6);;;L?n;Poil;;;
Nya?nya? (adj);;;;Poilu;;;
Tsin? ;;;L?n;Point (.);;;
Là?gnts? (5/4);;;L?n;Point d?eau;;;
Tsin ncàm? ;;;L?n;Point d?exclamation;;;
Tsin mb?dt?;;;L?n;Point d?interrogation;;;
Mbumt?? ;;;L?n;Point d?intersection;;;
Tsin mfa??;;;L?n;Point de supension;;;
Tsinyo? nc??;;;L?n;Point final;;;
K?dfi (5/4);;;L?n;Pointe a? bille;;;
K??l? (5/4);;;L?n;Pointe a? e?crire;;;
K?d?wa??ni (5/4);;;L?n;Pointe a? e?crire;;;
Tsin t?nt? ;;;L?n;Points (:) (deux);;;
N??bet? (adj);;;;Pointu;;;
Tsin zwiag? (;;;L?n;"Point-virgule (;)";;;
Co?? (5/4);;;L?n;Poire;;;
C??b (5/4);;;L?n;Poison;;;
Ngo?nts? (1/6);;;L?n;Poisson;;;
Mb??m (1/6);;;L?n;Poitrine;;;
Ndà?nt? (1/6);;;L?n;Poitrine;;;
Mf?à?gncu? (1/6);;;L?n;Poli;;;
Nga?f?à?gncu (1/6);;;L?n;Poli;;;
Nga?ya?ncu? (1/6);;;L?n;Poli;;;
Nja?ncu? (1/6);;;L?n;Poli;;;
F?à?gncu? (;;;L?n;Politesse;;;
Nga?nk??nk? (1/6);;;L?n;Politicien;;;
Nk??nk? (1/6);;;L?n;Politique;;;
Mf? (4);;;L?n;Politique;;;
Nu?ng?? ;;;L?n;Politique;;;
N?? ma?a (bum) (V);;;Mba?ncob?;Pondre (oeuf);;;
Nko??nts? (3/6);;;L?n;Pont;;;
Ng?? (3/6);;;L?n;Population;;;
B??nnt??n (5);;;L?n;Population;;;
Ng??nyà?m (1/6);;;L?n;Porc;;;
Nka?ng??nyà?m;;;L?n;Porcherie;;;
Ncu?nts? (;;;L?n;Port;;;
Nz??ndà (1/6);;;L?n;Porte;;;
Mvv???nkàb (1/6);;;L?n;Porte-monnale;;;
N?? k??l? (V);;;Mba?ncob?;Porter;;;
N?? ?a?a (V);;;Mba?ncob?;Porter;;;
N?? ba?d mv??n (V);;;Mba?ncob?;Porter (au dos);;;
N?? yam ntàm? (V);;;Mba?ncob?;Porter (fruit);;;
Nga?benbnz??ndà (1/6;;;L?n;Portier ;;;
N?? yàb? (V);;;Mba?ncob?;Poser;;;
N?? yàb nsi (V);;;Mba?ncob?;Poser;;;
Ndà?nk??n?wa??ni;;;L?n;Poste;;;
Nzwi?d (1/6);;;L?n;Poste?rite?;;;
T??nndà (3/6);;;L?n;Poste?rite?;;;
Kab (1/6);;;L?n;Pot;;;
Nga?t?kab (1/6);;;L?n;Potier;;;
Nga?teca?a (1/6);;;L?n;Potier;;;
Nt??kab (1/6);;;L?n;Potier;;;
Nt??ca?a (1/6);;;L?n;Potier;;;
Nc??d (1/6);;;L?n;Pou;;;
Bw? (3/6);;;L?n;Poudre;;;
Njo?g (1);;;L?n;Poudre (a? canon);;;
Mba?bmbabe (4);;;L?n;Poudre (en);;;
Ngab (1/6);;;L?n;Poule;;;
Mà?ngab (1/6);;;L?n;Poule me?re;;;
Ba?gt??;;;L?n;Poumons;;;
Cu??nt? (3);;;L?n;Pour;;;
Nu?m (pre?p);;;;Pour;;;
Z?? (pre?p);;;;;;;
M??nng??nyà?m (1/6);;;L?n;Pourceau;;;
?wa???wa? (adj);;;;Pourpe;;;
Nu?mk?? (adv);;;;Pourquoi;;;
Ya?ka?g (3/4);;;L?n;Pousse-pousse;;;
N?? bil? (V);;;Mba?ncob?;D‚coler;;;
N?? t?n? (V);;;Mba?ncob?;Pousser;;;
N?? cw?n? (V);;;Mba?ncob?;Pousser ;;;
Mbab? (4);;;L?n;Poussiere;;;
M??nngab (1/6);;;L?n;Poussin;;;
Ka?mncw?n (1/6);;;L?n;Poutre;;;
Mbwo?ncw?n (1/6);;;L?n;Poutre;;;
Mba?? (1);;;L?n;Pouvoir;;;
N?? ku??ni? (V);;;Mba?ncob?;Pouvoir;;;
N??ta (1/6);;;L?n;Pouvoir;;;
Nz??m?n (1/6);;;L?n;Pre?cepteur;;;
N?? cob nu? nsi (V);;;Mba?ncob?;Pre?cher;;;
Ju?ta?njo?? (adj);;;;Pre?cieux;;;
Ju?k??njo?? (adj);;;;Pre?cieux;;;
Ghe?m? ;;;;Pre?cipice;;;
Nànt?? (1);;;L?n;Pre?cipitation;;;
Fa?t?? (1);;;L?n;Pre?cipitation;;;
Vo?gt??;;;L?n;Pre?cipitation;;;
N?? nànt? (V);;;Mba?ncob?;Pre?cipiter;;;
N?? fa?t? (V);;;Mba?ncob?;Pre?cipiter;;;
N?? vo?gt?? (V);;;Mba?ncob?;Pre?cipiter;;;
Nga?cobncobnsi (1/6);;;L?n;Pre?dicateur;;;
Ncobnsi (4);;;L?n;Pre?dication;;;
Mbw??tàmt? (5/4);;;L?n;Pre?mice;;;
Mbw?? (adj);;;;Premier;;;
Mbw??m?n (1/6);;;L?n;Premier fils;;;
Tu?sw? (1/6);;;L?n;Premier fils;;;
N?? kwe (V);;;Mba?ncob?;Prendre;;;
N?? lo??o (V);;;Mba?ncob?;Prendre;;;
N?? fedt? (V);;;Mba?ncob?;Prendre de force;;;
N?? kw? n??ta (V);;;Mba?ncob?;Prendre de force;;;
N?? kw? t??n (V);;;Mba?ncob?;Prendre de force;;;
N?? mi? (V);;;Mba?ncob?;Prendre fin;;;
Ngansà (1/6);;;L?n;Presdigitateur;;;
Ngagh??m?sin (1/6);;;L?n;Presdigitation;;;
Nsà (1/6);;;L?n;Presdigitation;;;
M?sin (1/6);;;L?n;Pre?sent;;;
Nda?? (1/6);;;L?n;Pre?sent (le);;;
Nd??nni (1);;;L?n;Pre?sent (le);;;
Fi?m (1/6);;;L?n;Pre?sservatif;;;
Tà?kum (1/6);;;L?n;Pr‚sident;;;
Tà?mànj?? (1/6);;;L?n;Pr‚sident;;;
Tà?ndà (1/6);;;L?n;Pr‚sident;;;
Tà?ng?? (1/6);;;L?n;Pr‚sident;;;
N??nànt? (addj);;;;Pressant;;;
Nts?netam? (1/6);;;L?n;Pressentiment;;;
N?? nànt? (V);;;Mba?ncob?;Presser;;;
N?? nyi (V);;;Mba?ncob?;Presser;;;
Cà?b (5/4);;;L?n;Pressoir;;;
N?? lo??fà (V);;;Mba?ncob?;Pre?t (e?tre);;;
N?? ba?b nd? (? (V);;;Mba?ncob?;Pre?tendre;;;
N?? bu?bum (V);;;Mba?ncob?;Pre?tencieux;;;
N? fo? (V);;;Mba?ncob?;Pre?ter;;;
N?? k?? nto? (V);;;Mba?ncob?;Pre?ter attention;;;
N?? cw??l? (V);;;Mba?ncob?;Prˆter sur gage ;;;
N?? yàb cw?d (V);;;Mba?ncob?;prˆter sur gage;;;
La?dnta (3);;;L?n;Pr‚texte ;;;
N?? la?dnta (3);;;L?n;Pr‚texter;;;
Nka?mnsi (1/6);;;L?n;Prˆte;;;
K??ki (5/4);;;L?n;Preuve;;;
Mf?? ((1/6);;;L?n;Preuve;;;
N?? l???t?? (V);;;Mba?ncob?;Prier;;;
N?? ma??mbu (V);;;Mba?ncob?;Prier;;;
N?? bu?mbu (V);;;Mba?ncob?;Prier;;;
N?? l???t?? Nsi (V);;;Mba?ncob?;Prier Dieu;;;
L???t?? (1/6);;;L?n;Prie?re;;;
Nda?? (1/6);;;L?n;Prime;;;
N?? j?a? m??n (V);;;Mba?ncob?;Primer;;;
N?? fà nda? (V);;;Mba?ncob?;Primer;;;
M??nmf??n (1/6);;;L?n;Prince;;;
M??nnd?b (1/6);;;L?n;Principal;;;
Ndà?ca (1/6);;;L?n;Prison;;;
Ca (3);;;L?n;Prison;;;
Nga?ndà?ca (1/6);;;L?n;Prisonnier;;;
Nda?? (1/6);;;L?n;Prix;;;
Njo?? (3/6);;;L?n;Prix;;;
 Co??ngu? (3/4);;;L?n;Prix;;;
Kam? (5/4);;;L?n;Proce?s ;;;
Nca? (1/6);;;L?n;Proce?s;;;
N?? so?? (V);;;Mba?ncob?;Proclamer;;;
Nga?bàgtà?k??sia? (V);;;Mba?ncob?;Prodigue;;;
Bi?n (3/6);;;L?n;Profit;;;
N?? j?bin (V);;;Mba?ncob?;Profiter;;;
Nga?j?nbi?n (1/6);;;L?n;Profiteur;;;
Nj??bi?n (1/6);;;L?n;Profiteur;;;
Co (adj);;;;Profond;;;
Mànja?mnsi (1/6);;;L?n;Profondeur;;;
N??co (1);;;L?n;Profondeur;;;
La?mnts? (5/4);;;L?n;Profondeu d?eau;;;
Nyi?nnso (1/6);;;L?n;Prognate;;;
Mfi??n??ma?a (1/6);;;L?n;Projet;;;
N?? ma?a mfi??;;;;Projet (avoir un);;;
Nkadt?? (1/6);;;L?n;Promenade;;;
N?? kadt? (V);;;Mba?ncob?;Promener;;;
N?? zi?n? (V);;;Mba?ncob?;Promener;;;
N?? zint?? (V);;;Mba?ncob?;Promener;;;
Nga?zi?n (1/6);;;L?n;Promeneur;;;
Nka??ni? (4);;;L?n;Promesse;;;
N?? ka?a (V);;;Mba?ncob?;Promettre;;;
N?? b? (V);;;Mba?ncob?;Promettre;;;
Ncobnsi (4);;;L?n;Prophe?tie;;;
Nga?ntu?mnsi (1/6);;;L?n;Prophe?te;;;
Làn? (1);;;L?n;Proprete?;;;
Ced (1);;;L?n;Proprete??;;;
N?? kwi?mntunk??kwi?nsi;;;Mba?ncob?;Prosterner;;;
N?? v??nsi mbw?? m??n;;;Mba?ncob?;Prosterner;;;
Ka?dt? (1/6);;;L?n;Prostitue?e;;;
Taà?nk?d (3/6);;;L?n;Proverbe;;;
Ka?mn?? ;;;L?n;Province;;;
N??ka?m nca?;;;L?n;Provocation;;;
N?? ka?m? nca? (V);;;Mba?ncob?;Provoquer;;;
Z?t?? (1/6);;;L?n;Prudence ;;;
Com (5//4);;;L?n;Prune;;;
T?com (5/4);;;L?n;Prunier;;;
N?? sa? k??n (V);;;Mba?ncob?;Publier une nouvelle;;;
N?? ?wa?l? (V);;;Mba?ncob?;Puiser;;;
N?? tu?u (V);;;Mba?ncob?;Puiser;;;
Nga?tu? (1/6);;;L?n;Puiseur;;;
N??ta (1/6);;;L?n;Puissance;;;
Mba?? (1/6);;;L?n;Puissance;;;
F??d (1/6);;;L?n;Puissance;;;
M??nmba?? (1/6);;;L?n;Puissant;;;
N??ta (adj);;;;Puissant;;;
Nga?n??ta (1/6);;;L?n;Puissant;;;
T?nts? (5/4);;;L?n;Puits;;;
Ca??nts? (5/4);;;L?n;Pure?e;;;
Nsw? (1);;;L?n;Pus ;;;
;;;;;;;
Nyà?mnku?nkuà (1/6);;;L?n;Quadrupe?de;;;
?a?mnkuà (adj);;;L?n;Quarante;;;
Ta??la? (3/4);;;L?n;Quartier;;;
Kuà? (adj);;;;Quatre;;;
Mbadt?? kuà? (adj);;;;QuatriŠme;;;
Mb? (pron);;;;Que;;;
Mi (pron);;;;Que;;;
Ts? (pron);;;;Que;;;
Z? (pron);;;;Que;;;
Mi?l? (adj);;;;Quel;;;
Si?l? (adj);;;;Quel;;;
Zi?l? (adj);;;;Quel;;;
Tsi?l? (adj);;;;Quels;;;
Mo?? m??n (pron);;;;Quelqu?un;;;
Mo?? , mo?? (adj);;;;Quelque;;;
Mo??d?? (adv);;;;Quelque part;;;
Mimo?? (adj);;;;Quelques;;;
Ts??mo?? (adj);;;;Quelques;;;
N?? ma?? mbu (V);;;Mba?ncob?;Que?mander;;;
Ma?? mbu (V);;;Mba?ncob?;Que?mandeur;;;
Nda? (1/6);;;L?n;Querelle;;;
Nta?nta (1/6);;;L?n;Querelle;;;
Nca? (1/6);;;L?n;Querelle;;;
N?? ca? nca? (V);;;Mba?ncob?;Quereller;;;
N?? cog nda? (V);;;Mba?ncob?;Quereller;;;
N?? sa? nca? (V);;;Mba?ncob?;Quereller (se);;;
Nga?nta?nta? (1/6);;;L?n;Querelleur;;;
Nga?ca?nca? (1/6);;;L?n;Querelleur;;;
Nku?n (3/6);;;L?n;Queue;;;
Swa (5/4);;;L?n;Queue;;;
Swadia?? (5/4);;;L?n;Queue de parade;;;
Ts? (pron inter);;;;Qui;;;
W? (pron inter);;;;Qui;;;
Z? (pron rel);;;;Qui;;;
B? tw? nz? ;;;;Qui vive;;;
M??nz? (pron);;;;Quiconque;;;
Mbà? welo ze (pron);;;;Quiconque;;;
N?? lo? (V);;;Mba?ncob?;Quitter;;;
K? (pron);;;;Quoi ;;;
;;;;;;;
