Mot;Autre forme;Definition;Nature du mot;Francais;Anglais;;
Tunndà (3/6);Ntu?nndà;;L?n;Maison;;;
D???fo?(?) (1/6);;;L?n;Maison (de radio);;;
Ndà?fo?(?) (1/6);;;L?n;Maison (de radio);;;
Ndà?nsa?fo?(?) (1/6);;;L?n;Maison (de radio );;;
Ndà?kwàn  (1/6);;;L?n;Maison (de?portation;;;
Ng??f?l? (1/6);Ng??f??d;;L?n;Mai?s;;;
Nga?tswi?t?? (1/6);gha?tswi?t??;;L?n;Mai?tre;;;
Tà (1/6);;;L?n;Mai?tre;;;
Tà?ndà (1/6);;;L?n;Mai?tre (maison);;;
Mà?fa?? (1/6);;;L?n;Mai?tresse;;;
Màndà (1/6);;;L?n;Mai?tresse;;;
M??nnzwi?ndà (1/6);;;L?n;Mai?tresse;;;
Nsà?hntubu (1/4);;;L?n;Majeur (doigt);;;
N??ku??u (adj);Nku?'u;;;Majeur;;;
N??ku??ntse ();;;;Majorite?;;;
Be?n yàm? ();;;;Majorite?;;;
K??bw?? (1/6);;;L?n;Mal;;;
Ng?? (1/6);;;L?n;Mal;;;
N? nywi?l? (V);Njwil?;;Mba?ncob?;Mal(de?guise? en bien;;;
N?? gh?? nge? (V);Ngh?? ng?';;Mba?ncob?;Mal (faire du);;;
N?? ka ng?? (V);Nka ng?';;Mba?ncob?;Mal (faire du);;;
N?? yab ng?? (V);Njàb ng?';;Mba?ncob?;Mal (faire du);;;
N?? nywi?l? (V);Njwil?;;Mba?ncob?;Mal (parler de qqn);;;
Nu?k??bw?? (1/6);;;L?n;Mal (quelque chose;;;
Nga?ngo?k?d (1/6);Gha?ngo?k?d;;L?n;Malade;;;
Ngo?k?d (1/6);;;L?n;Maladie;;;
Ngo?k?d k??ya?t??;;;L?n;Maladie chronique;;;
N?? tebt? (V);Ntebt?;;Mba?ncob?;Malaxer;;;
Len(?) (5);;;L?n;Malchance;;;
Nga?len(?) (adj);Gha?len(?);;;Malchanceux;;;
Ndu (1/6);Du;;L?n;Ma?le;;;
Fod (5/4);;;L?n;Ma?le (animaux);;;
K?? (5/4);;;L?n;Ma?le (oiseaux);;;
Bà?glin? (1);;;L?n;Malchance ;;;
N?? bàglin? (V);Mbà?glin?;;Mba?ncob?;Malchance (avoir la;;;
Ndon (4);;;L?n;Male?diction;;;
Nga?gh??k??bw?? (1/6);M??nk??bw??;;L?n;Malfaiteur;;;
Ng?? (1/6);;;L?n;Malheur;;;
Nga?y?nng?? (1/6);Nj??nng?';;L?n;Malheureux;;;
Z?t?? (1);;;L?n;Malice;;;
Nga?z?t?? (1/6);;;L?n;Maliciaeux;;;
M??nnk??kw?? (1/6);;;L?n;Malin ;;;
Nga?z?t?? 1/6;;;L?n;Malin;;;
N?? kà?gng?';Nkà?gng?';;Mba?ncob?;Maltraiter;;;
N?? gh??dni? (V);Ng??dni;;Mba?ncob?;Maltraiter;;;
N?? co?nkuk??mbàn;co'nkuk??mbàn;;Mba?ncob?;Maltraiter;;;
Mb?n (4);B?n;;L?n;Mamelles;;;
Ngud (1/6);;;L?n;Manche;;;
N?? j? ju (V);Nj? ju;;Mba?ncob?;Manger;;;
N?? f?l? (V);Mf?l?;;Mba?ncob?;Manger;;;
Nga?j?ju (1/6);Nj??ju;;L?n;Mangeur;;;
Nga?nzi(1/6);;;L?n;Mangeur;;;
Nj??ju (1/6);;;L?n;Mangeur;;;
Ma?d (V);;;Mba?ncob?;Manie?re;;;
N?? gho?mt?? (V);Ngo?mt?;;Mba?ncob?;Manie?re (faire des);;;
Gho?mt?? (1);;;L?n;Manles;;;
Kà?sàla?? (1/6);;;L?n;Manioc;;;
S??mb??n (1/6);;;L?n;Manioc;;;
Mànà? (1);;;L?n;Manne;;;
N?? tsi? (V);Ntsi?;;Mba?ncob?;Manquer;;;
N?? bwo?? (V);Mbwo??;;Mba?ncob?;Manquer;;;
Ku?mmba?? (5/4);Nku?mmb…?;;L?n;Manteau;;;
F??n (1/6);Mf??n;;L?n;Maquis;;;
Z?f??n (1/6);;;L?n;Maquisard;;;
Ma??nco?f??n (1/6);;;L?n;Maquisard;;;
Marm?? (;;;L?n;Marbre;;;
Nga?tantàn(?) (1/6);Nta?ntàn(?);;L?n;Marchand;;;
Nta?ntàn? (1/6);;;L?n;Marchand;;;
Nta? (1/6);;;L?n;Marchand de;;;
N?? ta (V);Nta;;Mba?ncob?;Marchander;;;
N?? ta ntàn(?) (1/6);Ntantàn(?);;L?n;Marchander;;;
Ju?ntàn? (3/6);Cu?ntàn?;;L?n;Marchandise;;;
Zi?n (5/4);;;L?n;Marche;;;
N??b??nt?? tu?ntu?n (1/6);Mb??nt? tu?ntu?n;;L?n;Marche arrie?re;;;
Ntàn? (1/6);;;L?n;Marche?;;;
